Номер1	Номер2	Номер3	Номер4	Номер5	Номер6	Номер7	Номер8	Номер9	Номер10	Номер11	Номер12	Номер13	Номер14	Номер15	Номер16	Номер17	Номер18	Номер19	Номер20	Номер21	Номер22	Номер23	Номер24	Номер25	Номер26	Номер27	Номер28	Номер29	Номер30	Номер31	Номер32	Номер33	Номер34	Номер35
0,593398113	0,554287249	0,08572859	0,852075412	0,23551821	0,47152676	0,860240304	0,898089281	0,11583279	0,970094169	0,673436197	0,848721364	0,383419225	0,50076115	0,31770421	0,013250274	0,386189992	0,892680261	0,892897892	0,86112579	0,40473173	0,92724872	0,90944595	0,330284409	0,70084367	0,926182718	0,211072131	0,317638726	0,140632485	0,784650458	0,95194453	0,884953512	0,950620953	0,434669149	0,204053399
0,477928801	0,375219376	0,068714932	0,498507942	0,077751818	0,181022387	0,88696454	0,712013644	0,659634709	0,013932078	0,678462473	0,568518315	0,887446372	0,256841788	0,01007925	0,76496266	0,177957601	0,554867153	0,373653147	0,799747357	0,557898813	0,123343978	0,2376855	0,679678117	0,842417188	0,964782392	0,685275054	0,213315037	0,054140588	0,40524621	0,2285087	0,290360058	0,261493706	0,302255799	0,131825681
0,672255251	0,932669241	0,570996772	0,668409941	0,810083068	0,711257746	0,765615718	0,612968768	0,844942159	0,948392764	0,217588107	0,341893414	0,214620361	0,71861539	0,477766342	0,352714293	0,535105991	0,436688358	0,254066832	0,805900075	0,179314923	0,619699147	0,677965985	0,025698886	0,741163697	0,796635798	0,220730993	0,147877016	0,187834758	0,691943012	0,565369043	0,354699088	0,193317214	0,629963059	0,858554288
0,723017776	0,578565373	0,321655919	0,272263301	0,946038231	0,743859791	0,736320907	0,185266071	0,257794311	0,441513502	0,542283349	0,865705164	0,52114151	0,828959798	0,588969209	0,195021839	0,73570889	0,197023898	0,158923022	0,450485051	0,811451519	0,293496581	0,844560951	0,931582118	0,009015928	0,425284361	0,364104356	0,473609026	0,044486655	0,329979016	0,759160997	0,192956382	0,528513863	0,761743053	0,178083238
0,09360426	0,564617608	0,983921493	0,282645077	0,10820401	0,027614431	0,250803902	0,138301583	0,097188738	0,618133206	0,644793391	0,970363851	0,574600021	0,348915392	0,725964853	0,183981776	0,735713928	0,728586045	0,174859359	0,120428743	0,02619315	0,374933934	0,651937033	0,155413645	0,956866926	0,415394457	0,658513082	0,277499807	0,118793942	0,718062347	0,788705094	0,077335188	0,721175426	0,261101769	0,814787743
0,294913584	0,372049689	0,460354446	0,743368759	0,841738369	0,572109172	0,049532519	0,18893867	0,16471496	0,896676282	0,71949739	0,988732198	0,320938046	0,320397099	0,11633793	0,71893614	0,34037604	0,300937018	0,098975858	0,035078589	0,412456553	0,589871538	0,256845706	0,087686416	0,196475852	0,189317859	0,599705823	0,194802296	0,038470015	0,61410316	0,149664496	0,801825162	0,655701143	0,421803475	0,891933548
0,011856139	0,794371047	0,505067269	0,100236313	0,979409367	0,408113834	0,52386825	0,258733269	0,961868091	0,341689825	0,365311792	0,314566786	0,514117693	0,319614774	0,693398239	0,4984778	0,725316028	0,304207084	0,748154218	0,665211824	0,189618894	0,941112512	0,331592947	0,333062113	0,960672859	0,873138618	0,408952872	0,598363858	0,032966962	0,99907151	0,201317193	0,503417933	0,462659831	0,059733873	0,810305801
0,863939918	0,868933752	0,793149738	0,610286933	0,259383643	0,783890434	0,406919194	0,404762083	0,695265239	0,852125493	0,909269557	0,964616708	0,671060331	0,172057774	0,153408479	0,099921788	0,727632991	0,001429964	0,322272555	0,926338946	0,047729019	0,365382736	0,876914698	0,473114903	0,031933098	0,328049702	0,606871501	0,656878049	0,018768988	0,400822018	0,95220174	0,032995076	0,39867925	0,624146479	0,512000467
0,494021427	0,488025039	0,064389179	0,700915881	0,948756675	0,650583689	0,119191582	0,773694853	0,730989026	0,797543164	0,04848775	0,606984937	0,219574901	0,885837597	0,096036741	0,844667169	0,764580148	0,099348804	0,795595532	0,686940458	0,843267655	0,578140471	0,138756716	0,753115104	0,933586109	0,328031707	0,363516363	0,174447913	0,321606134	0,403956401	0,97599572	0,904899806	0,696048385	0,474907919	0,579672915
0,376692188	0,456684265	0,058603771	0,157200581	0,166263007	0,478527964	0,184152355	0,768453124	0,990581479	0,523684516	0,161144993	0,334170342	0,259343949	0,032221508	0,591522836	0,469380465	0,799872271	0,969720825	0,262688515	0,654360355	0,198547279	0,486392877	0,997253217	0,029843347	0,917406103	0,155455596	0,438747446	0,674403298	0,277320712	0,476220731	0,879169065	0,0236031	0,499006876	0,774938446	0,197476739
0,016773375	0,964166626	0,357031659	0,798210263	0,497641504	0,079832533	0,899819808	0,873362165	0,148639504	0,316654194	0,201811574	0,379615315	0,792562687	0,288382528	0,481126777	0,239623723	0,655109201	0,306479355	0,699573163	0,101617962	0,441497882	0,036935798	0,374908371	0,542237073	0,723080383	0,024904542	0,763282764	0,167114925	0,428331262	0,104371098	0,455120342	0,81353172	0,848398995	0,474680219	0,475672598
0,247500424	0,495909244	0,106602238	0,992522822	0,197839738	0,391348218	0,326440565	0,635613109	0,827265097	0,061382618	0,618519629	0,476906666	0,708296659	0,977555679	0,025290665	0,035270611	0,09118129	0,372339311	0,600756895	0,626403442	0,832116092	0,259395135	0,813593634	0,236895421	0,182367748	0,569489391	0,575928328	0,449898089	0,157194822	0,664052455	0,283901715	0,393420006	0,21859282	0,909834942	0,426906233
0,863217238	0,129463494	0,693943036	0,075227103	0,308670997	0,056340447	0,268076523	0,256513488	0,964118859	0,398108164	0,206987812	0,260628123	0,405544529	0,662706799	0,642922704	0,900324739	0,987217136	0,304625596	0,787995084	0,985019984	0,649841031	0,518727221	0,840325833	0,532056325	0,072808282	0,193059236	0,435589916	0,595675838	0,685513424	0,813815862	0,174516341	0,568303732	0,427774325	0,817898194	0,897456442
0,353771302	0,897794824	0,844823461	0,223850008	0,391464655	0,387365193	0,777876928	0,876429293	0,255172895	0,860826452	0,091588593	0,929023824	0,974520362	0,127312667	0,358917032	0,921160598	0,567921165	0,943796897	0,532539679	0,729717964	0,388824536	0,892488243	0,85493231	0,912144389	0,874809012	0,957062253	0,112418619	0,187824597	0,581039249	0,01941894	0,867395987	0,470621566	0,225905103	0,068956605	0,159945274
0,479695026	0,27922556	0,886432089	0,349219188	0,748577408	0,500969599	0,57502338	0,930798567	0,122888903	0,443719707	0,703161362	0,515329715	0,582188582	0,70944014	0,044750304	0,113499229	0,860008053	0,946032444	0,215244129	0,347273392	0,041101868	0,253634073	0,715047642	0,101057967	0,624726928	0,000774314	0,376857952	0,746047481	0,764713675	0,826757239	0,818884235	0,947416297	0,356584039	0,779215184	0,353231539
0,863995631	0,361887001	0,830039976	0,762359829	0,316606891	0,814142694	0,507732653	0,116915351	0,250341992	0,060835765	0,183669808	0,279042418	0,651739178	0,791945915	0,728980214	0,614575887	0,609742101	0,296744392	0,13554527	0,685611796	0,772140489	0,753037579	0,338826929	0,28602137	0,325399547	0,599951846	0,413614802	0,986577469	0,729869637	0,258285341	0,51371075	0,835449934	0,559428747	0,11809199	0,963178097
0,39513403	0,052237351	0,868863616	0,04282689	0,387886356	0,78982384	0,547025885	0,929859652	0,100786613	0,013263187	0,73399085	0,042818606	0,701694453	0,566609482	0,1471504	0,623392068	0,069566136	0,469430263	0,647548176	0,056377357	0,255126709	0,687602592	0,2588684	0,247166848	0,946717828	0,585590098	0,768869901	0,482565281	0,67772004	0,60809104	0,616392164	0,558493099	0,941875704	0,05539581	0,606586859
0,949224738	0,918830408	0,791174736	0,406940348	0,538851945	0,381919426	0,130356034	0,966471226	0,643811475	0,594500068	0,962823458	0,053010265	0,886810075	0,099409499	0,363807903	0,619531037	0,716465304	0,278943484	0,966973271	0,473742825	0,179987713	0,104328494	0,20330042	0,708411537	0,094610608	0,930523479	0,949176972	0,575252939	0,206848552	0,577416198	0,457037651	0,795413818	0,120843216	0,313116833	0,759979061
0,15566518	0,618745165	0,592553179	0,24469711	0,459232727	0,662788146	0,143366742	0,793221947	0,769680713	0,638697222	0,511945982	0,033117327	0,89188944	0,63480626	0,506141036	0,373066217	0,014012568	0,618001139	0,433922532	0,856869306	0,740446074	0,024061438	0,094600286	0,134749832	0,822886974	0,951737092	0,87165462	0,973618961	0,530849654	0,508980177	0,836300516	0,151199017	0,272907763	0,948997335	0,249881279
0,606279735	0,958161695	0,350895065	0,958151511	0,560431052	0,165246713	0,32103615	0,509892974	0,414654834	0,994338776	0,953883795	0,899707188	0,162200503	0,047710904	0,201730536	0,038378798	0,125598313	0,309598341	0,64521645	0,320356112	0,707876103	0,954866737	0,702386551	0,904840529	0,098343722	0,474477875	0,145392914	0,071089094	0,801952077	0,510251364	0,027097443	0,778230377	0,045691912	0,354593318	0,037362817
0,637999211	0,187574438	0,93939661	0,177554141	0,355115644	0,961033117	0,503922108	0,246226828	0,022975589	0,212081294	0,500639739	0,242444129	0,530389798	0,093631721	0,045874178	0,58431462	0,188853626	0,319224744	0,455692953	0,157386784	0,20664722	0,739959298	0,464425893	0,524503557	0,556561681	0,69865518	0,014346268	0,928734956	0,233817485	0,813782334	0,045034438	0,967267554	0,42638276	0,168847677	0,413975132
0,274803558	0,399561564	0,449159646	0,021666598	0,257207719	0,059736662	0,53138332	0,675737343	0,532626672	0,675196799	0,65151801	0,399899564	0,402951475	0,542855434	0,399514445	0,803257436	0,734237137	0,841854664	0,714868231	0,545334905	0,937627317	0,243735868	0,100504281	0,019591253	0,132571943	0,391764276	0,149033895	0,106523178	0,508375916	0,63506525	0,301258127	0,950390566	0,858076544	0,52359732	0,88408811
0,897627386	0,56098057	0,784263551	0,884572928	0,630386311	0,88750483	0,711335423	0,538646874	0,416896284	0,813136648	0,567056537	0,122545194	0,401897689	0,098559671	0,813442027	0,518754927	0,114028061	0,080046319	0,567707205	0,021318368	0,038138989	0,563200722	0,633208553	0,59938254	0,879504637	0,5733678	0,293910535	0,474399357	0,324244872	0,593717233	0,884166367	0,157298813	0,202650744	0,246389676	0,868215502
0,890054895	0,076306806	0,996516167	0,627577071	0,185013554	0,704142718	0,109728282	0,726366651	0,275801384	0,77548699	0,501804283	0,664561377	0,310387898	0,84133094	0,249876558	0,519981289	0,602997966	0,595957003	0,445949516	0,991576428	0,461228552	0,497678471	0,25294005	0,862189608	0,410378512	0,551950154	0,769478642	0,61984815	0,43231624	0,878468706	0,996371164	0,684120346	0,021572094	0,125639122	0,700248519
0,984524129	0,597702955	0,591517523	0,869865945	0,896560228	0,374363741	0,296473058	0,67001258	0,028542314	0,507076641	0,654102471	0,87378343	0,700759741	0,61608722	0,252997836	0,397983112	0,85221224	0,844868632	0,496464767	0,559135014	0,458398686	0,707214898	0,108257275	0,643086332	0,094610415	0,036182984	0,903157298	0,053186173	0,860474468	0,245044563	0,687498918	0,559319896	0,884107788	0,798987372	0,689259237
0,710115525	0,284317577	0,384718008	0,711008431	0,109245684	0,235383206	0,135099078	0,283074097	0,835383877	0,556366341	0,221872501	0,173594718	0,28417197	0,442845495	0,550334222	0,421171753	0,240418774	0,74351852	0,328542543	0,295105026	0,90989406	0,74388867	0,805833208	0,024913091	0,637987095	0,841746543	0,81527801	0,942127036	0,479790642	0,14243019	0,309064208	0,855071781	0,229534546	0,271665216	0,97349736
0,038138618	0,032441195	0,973945241	0,237474999	0,005889853	0,871865443	0,575001537	0,477366579	0,576064292	0,765523028	0,972598407	0,260464589	0,997779619	0,049612589	0,2757114	0,082896404	0,311457359	0,574371245	0,953073893	0,715852497	0,991542202	0,762243756	0,904942601	0,961416455	0,171342883	0,595799438	0,65794606	0,057845815	0,882199144	0,591207767	0,677104025	0,04700664	0,237368457	0,528611944	0,99297271
0,59421283	0,190555614	0,789041604	0,345156311	0,017944329	0,897960137	0,253978916	0,714991296	0,736851796	0,508458936	0,710254813	0,15074704	0,246310979	0,794273159	0,814221703	0,567542713	0,884924548	0,863399279	0,601587727	0,684545416	0,31670251	0,434239613	0,271939288	0,745999097	0,866843435	0,081570779	0,772177546	0,321711735	0,443823945	0,248851137	0,259223092	0,220508096	0,497819193	0,574896392	0,011472732
0,293572844	0,568995934	0,742154567	0,381773885	0,552552974	0,438526328	0,903113228	0,376227027	0,990214943	0,795980953	0,599692774	0,013287072	0,037242636	0,547321724	0,022132159	0,377041176	0,721106205	0,637581364	0,887409843	0,040059933	0,475366039	0,648468662	0,621471213	0,458637943	0,730453357	0,504507859	0,088082074	0,446729868	0,193076071	0,769417593	0,568123655	0,27510481	0,090097243	0,004559537	0,708168829
0,495309668	0,331681128	0,605730709	0,540112645	0,377141058	0,387446212	0,808344261	0,376820427	0,878636998	0,359378743	0,178936482	0,925348857	0,939541922	0,081783856	0,119413705	0,401585453	0,618690189	0,414996085	0,133862405	0,535802081	0,18740989	0,559784126	0,560091616	0,347104833	0,217984201	0,652182634	0,976732089	0,068489937	0,813185349	0,527848781	0,489450766	0,246166422	0,723564396	0,706559368	0,36924452
0,867232084	0,711622331	0,443336477	0,77607803	0,784883823	0,165063644	0,338983996	0,558298057	0,351422428	0,99845824	0,604239979	0,689807173	0,369780342	0,683078803	0,205312383	0,624800031	0,184450592	0,624648195	0,779148051	0,429379648	0,143892235	0,476055591	0,697086419	0,80109848	0,880153666	0,3857661	0,269430142	0,010059976	0,61672261	0,874444395	0,210165258	0,120287601	0,241046565	0,329306325	0,253496864
